research_rank,priority_score,municipality_id,name_en,name_ar,governorate_en,district_en,candidate_website,candidate_email,candidate_phone,source_confidence,official_website_status,complaint_form_status,promotion_rule
308,87,50811,Al Mansouriyah - Al Maklas - Ad Daisheh,المنصورية-المكلس-الديشونية,Mount Lebanon,Matn,,,+9614400015,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
312,87,50856,Al Oyoun,العيون,Mount Lebanon,Matn,,,6361650.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
313,87,51927,Al Qulayat,القليعات,Mount Lebanon,Kesrouane,,,6875115.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
315,87,51279,Amatour,عماطور,Mount Lebanon,El Chouf,,,(05)311105,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
316,87,52170,Amshit,عمشيت,Mount Lebanon,Byblos,,,+9619620483,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
318,87,51828,Aramoun,عرمون,Mount Lebanon,Kesrouane,,,(05)410325,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
319,87,48032,Arsoun,أرصون,Mount Lebanon,Baabda,,,(03)228684,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
320,87,51837,Ashqout,عشقوت,Mount Lebanon,Kesrouane,,,(09)957888   (09)957800,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
322,87,50478,Baabdat,بعبدات,Mount Lebanon,Matn,,,(04)820097    (04)820400,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
324,87,51027,Baakline,بعقلين,Mount Lebanon,El Chouf,,,(05)306016   (05)300528,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
325,87,51009,Baassir,بعاصير,Mount Lebanon,El Chouf,,,(07)920120,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
